8_5,95.13671875
8_10,99.5947265625
8_15,98.3515625
8_20,105.025390625
8_25,97.6533203125
8_30,107.6953125
8_35,89.1884765625
8_40,99.0908203125
8_45,100.2900390625
8_50,107.9140625
16_5,140.3125
16_10,137.6796875
16_15,143.7578125
16_20,147.94140625
16_25,143.4501953125
16_30,145.060546875
16_35,146.5400390625
16_40,147.9404296875
16_45,145.4697265625
16_50,142.578125
24_5,178.7890625
24_10,173.869140625
24_15,176.619140625
24_20,176.7373046875
24_25,183.837890625
24_30,171.6435546875
24_35,175.2724609375
24_40,182.654296875
24_45,178.119140625
24_50,175.9326171875
32_5,198.1962890625
32_10,204.8271484375
32_15,204.9990234375
32_20,207.8525390625
32_25,204.1162109375
32_30,197.7109375
32_35,206.77734375
32_40,196.259765625
32_45,202.7197265625
32_50,203.056640625
40_5,227.517578125
40_10,232.2392578125
40_15,220.9716796875
40_20,230.681640625
40_25,229.0185546875
40_30,221.798828125
40_35,222.5029296875
40_40,233.537109375
40_45,227.3828125
40_50,219.259765625
48_5,249.4443359375
48_10,243.75390625
48_15,250.716796875
48_20,249.8115234375
48_25,245.130859375
48_30,243.2685546875
48_35,252.4736328125
48_40,249.4814453125
48_45,244.1923828125
48_50,242.6494140625
56_5,259.021484375
56_10,268.271484375
56_15,257.9140625
56_20,259.966796875
56_25,258.0966796875
56_30,254.7548828125
56_35,258.1259765625
56_40,267.513671875
56_45,260.7470703125
56_50,262.392578125
64_5,276.6220703125
64_10,283.419921875
64_15,276.6142578125
64_20,276.390625
64_25,277.49609375
64_30,278.9130859375
64_35,276.9150390625
64_40,275.2099609375
64_45,280.29296875
64_50,280.9287109375
